Brand,Item ,Calories, Total Fat (g),Trans Fat (g) ,Saturated Fat (g), Sodium (mg), Total Carbohydrates (g) ,Cholesterol (mg), Dietary Fibre (g), Sugars (g), Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) 
1,1,3,0,0,0,0,5,0,0,0,0,0,0,0,0
1,2,4,0,0,0,0,10,0,0,0,1,0,0,0,0
1,3,5,0,0,0,0,10,0,0,0,1,0,0,0,0
1,4,5,0,0,0,0,10,0,0,0,1,0,0,2,0
1,5,70,0,0,0,5,75,10,0,9,6,10,0,20,0
1,6,100,4,2,0,15,85,10,0,9,6,10,0,20,0
1,7,70,3,0,0,0,65,6,1,4,5,6,0,20,8
1,8,100,0,0,0,5,120,15,0,14,10,15,0,30,0
1,9,150,6,3,0,25,135,15,0,14,10,15,0,30,0
1,10,110,5,1,0,0,105,10,1,6,8,10,0,30,15
1,11,130,0,0,0,5,150,19,0,18,13,20,0,40,0
1,12,190,7,4,0,30,170,19,0,17,12,20,2,40,0
1,13,150,5,1,0,0,130,13,1,8,10,15,0,40,15
1,14,170,0,0,0,10,190,25,0,23,16,30,0,50,0
1,15,240,9,5,0,35,220,24,0,22,16,25,2,50,0
1,16,190,7,1,0,0,170,16,2,11,13,20,0,50,25
1,17,110,2,1,0,5,60,21,1,17,7,8,0,15,10
1,18,130,4,2,0,10,70,21,1,17,6,8,0,15,10
1,19,110,4,1,0,0,55,19,2,13,6,6,0,15,20
1,20,170,2,1,0,5,100,32,1,27,10,15,0,25,20
1,21,200,6,4,0,20,115,32,1,26,10,15,0,25,20
1,22,180,5,2,0,0,85,28,2,20,9,10,0,25,30
1,23,220,3,2,0,5,125,43,2,34,13,20,0,35,25
1,24,260,8,5,0,25,140,42,2,34,13,15,2,35,25
1,25,230,7,2,0,0,105,37,3,26,11,10,0,35,40
1,26,280,3,2,0,10,160,54,2,44,17,25,0,45,30
1,27,340,11,6,0,30,180,53,2,43,17,20,2,45,30
1,28,290,9,3,0,0,140,47,4,33,14,15,0,45,50
1,29,100,0,0,0,5,70,19,0,18,6,10,0,20,0
1,30,130,4,2,0,15,80,18,0,17,6,10,0,20,0
1,31,110,3,0,0,0,60,16,1,13,5,6,0,20,8
1,32,150,0,0,0,5,110,28,0,27,9,15,0,30,0
1,33,200,5,3,0,20,125,28,0,27,9,15,0,30,0
1,34,160,4,1,0,0,95,23,1,20,7,10,0,30,15
1,35,200,0,0,0,5,140,37,0,35,12,20,0,35,0
1,36,250,6,4,0,25,150,37,0,35,12,20,2,35,0
1,37,210,5,1,0,0,120,31,1,26,9,10,0,35,15
1,38,250,0,0,0,10,180,47,0,45,15,25,0,50,0
1,39,320,9,5,0,35,200,46,0,44,15,25,2,45,0
1,40,270,7,1,0,0,160,39,2,33,12,15,0,45,20
1,41,5,0,0,0,0,5,1,0,0,0,0,0,0,0
1,42,10,0,0,0,0,10,2,0,0,1,0,0,2,0
1,43,15,0,0,0,0,15,3,0,0,1,0,0,2,0
1,44,25,0,0,0,0,15,4,0,0,1,0,0,2,0
1,45,50,0,0,0,5,60,8,0,7,5,8,0,15,0
1,46,80,3,2,0,10,70,8,0,7,5,8,0,15,0
1,47,50,2,0,0,0,40,4,0,3,3,4,0,10,6
1,48,60,0,0,0,5,70,9,0,8,6,10,0,20,0
1,49,90,4,2,0,15,80,9,0,8,6,10,0,20,0
1,50,70,3,0,0,0,65,7,1,4,5,6,0,20,8
1,51,80,0,0,0,5,90,12,0,10,8,15,0,25,0
1,52,120,4,2,0,15,100,12,0,10,8,10,0,25,0
1,53,100,4,0,0,0,80,9,1,5,7,8,0,25,10
1,54,110,0,0,0,5,120,16,0,14,10,20,0,30,0
1,55,150,6,3,0,25,135,16,0,14,10,15,0,30,0
1,56,120,5,1,0,0,110,11,1,7,9,10,0,35,15
1,57,5,0,0,0,0,0,1,0,0,0,0,0,0,0
1,58,10,0,0,0,0,1,2,0,0,1,0,0,0,0
1,59,60,0,0,0,5,80,9,0,8,6,10,0,20,0
1,60,100,0,0,0,5,125,14,0,13,9,15,0,30,0
1,61,120,0,0,0,5,160,18,0,16,12,20,0,35,0
1,62,160,0,0,0,10,200,24,0,21,15,25,0,50,0
1,63,100,1,1,0,5,70,17,0,15,6,10,0,15,0
1,64,120,4,2,0,15,80,16,0,15,5,10,0,15,0
1,65,100,3,1,0,0,60,14,1,11,4,6,0,15,8
1,66,140,1,1,0,5,105,25,0,24,8,15,0,25,0
1,67,180,5,3,0,20,115,25,0,23,8,15,0,25,0
1,68,150,5,1,0,0,90,21,1,17,7,10,0,25,10
1,69,190,1,1,0,10,130,35,0,32,11,20,0,35,0
1,70,240,7,4,0,25,150,34,0,32,10,15,2,30,0
1,71,200,5,1,0,5,115,29,1,24,9,10,0,35,15
1,72,240,1,1,0,10,170,43,0,41,13,25,0,40,0
1,73,300,8,5,0,35,180,43,0,40,13,20,2,40,0
1,74,250,7,2,0,5,140,36,1,31,11,15,0,40,20
1,75,180,3,2,0,5,120,31,0,29,7,10,0,25,0
1,76,200,6,4,0,15,125,31,0,29,7,8,2,25,0
1,77,180,5,3,0,0,110,28,1,25,6,6,0,25,8
1,78,270,5,4,0,5,190,47,0,45,12,15,2,35,0
1,79,310,9,6,0,20,200,46,0,44,11,15,2,35,0
1,80,280,8,4,0,0,170,42,1,39,10,10,2,35,10
1,81,350,6,5,0,10,240,61,0,58,15,20,2,45,2
1,82,400,11,7,0,25,250,61,0,58,15,15,2,45,0
1,83,370,10,5,0,0,220,56,1,51,13,10,2,45,15
1,84,450,7,6,0,10,310,78,0,74,19,25,2,60,2
